G,K20,K50,K100,Va,Vc,L,DT,RF,GB,XGB,BEST,BEST_MODEL
X,,,,X,X,1.115245749,1.185509153,1.16255203,1.306856829,1.361852021,1.115245749,L
X,,,,X,,1.119832608,1.388913661,1.242510579,1.126405609,1.303332935,1.119832608,L
X,,,,,X,1.115288192,1.167177958,1.209085575,1.389990586,1.662759763,1.115288192,L
X,,,,,,1.121905572,1.136942873,1.135276715,1.121091867,1.134857524,1.121091867,GB
,,,,X,X,1.115484637,1.172939117,1.151520393,1.140315224,1.169143526,1.115484637,L
,,,,X,,1.120792961,1.120718342,1.120665967,1.120489614,1.120713901,1.120489614,GB
,,,,,X,1.115595541,1.240100688,1.185773276,1.162429805,1.217421752,1.115595541,L
X,X,,,X,X,1.115250219,1.169270833,1.171162103,1.158512638,1.275666942,1.115250219,L
X,X,,,X,,1.117880847,2.343282365,1.398566455,1.188215669,1.830282696,1.117880847,L
X,X,,,,X,1.115247965,1.161903549,1.139117556,1.159377853,1.259878815,1.115247965,L
X,X,,,,,1.119357118,1.444930384,1.12305932,1.143800267,1.155326114,1.119357118,L
,X,,,X,X,1.114089292,1.121859918,1.124842026,1.112613163,1.122371544,1.112613163,GB
,X,,,X,,1.116644106,1.328124273,1.189101695,1.13383603,1.114593188,1.114593188,XGB
,X,,,,X,1.114090423,1.141861753,1.135023267,1.132748379,1.125924772,1.114090423,L
,X,,,,,1.118548953,1.122341876,1.120851183,1.121719324,1.121996316,1.118548953,L
X,,X,,X,X,1.117611269,1.126388314,1.143778312,1.162480672,1.257698358,1.117611269,L
X,,X,,X,,1.11940891,2.278527934,1.367527991,1.160292195,1.76912226,1.11940891,L
X,,X,,,X,1.117610411,1.070407836,1.137120481,1.174159565,1.258392802,1.070407836,DT
X,,X,,,,1.120392402,1.169905681,1.104021748,1.152188523,1.136161854,1.104021748,RF
,,X,,X,X,1.116711137,1.262426352,1.12481173,1.102909322,1.119018925,1.102909322,GB
,,X,,X,,1.118428652,1.151925693,1.34152533,1.138749659,1.211586073,1.118428652,L
,,X,,,X,1.116713201,1.281591466,1.136874352,1.11159359,1.132443466,1.11159359,GB
,,X,,,,1.119560326,1.154787762,1.122917893,1.12774489,1.120997007,1.119560326,L
X,,,X,X,X,1.118536349,1.181685833,1.174518502,1.292080069,1.24630958,1.118536349,L
X,,,X,X,,1.12041289,2.370254212,1.327251895,1.273876187,1.7152536,1.12041289,L
X,,,X,,X,1.118534039,1.175308826,1.145018964,1.199024757,1.208479678,1.118534039,L
X,,,X,,,1.121407874,1.917151393,1.160277362,1.397126422,1.27716332,1.121407874,L
,,,X,X,X,1.117736824,1.44152633,1.154783798,1.108646843,1.111498993,1.108646843,GB
,,,X,X,,1.11969932,2.194276216,1.328285099,1.266189004,1.115507454,1.115507454,XGB
,,,X,,X,1.117738033,1.384665105,1.146836982,1.136559657,1.114866562,1.114866562,XGB
,,,X,,,1.120951122,1.129962693,1.167179609,1.200706572,1.124852613,1.120951122,L